timestamp,method_name,selection_strategy,evolution_type,dataset_name,current_sequence,seed,model_name,n_val_groups,n_test_groups,n_trials,train_error,val_error,test_error
2026-04-17 13:30:26.434061,MeanMask,PFI,detector_distance,simulation,"[70, 90, 50]",4,mlp,1,1,30,0.07950435445461274,0.07785963708195012,0.07730227545394328
2026-04-17 13:30:26.434061,MeanMask,PFI,detector_distance,simulation,"[70, 90, 50, 30]",4,mlp,1,1,30,0.09396303594508432,0.09709703358265845,0.0982747433852757
2026-04-17 13:30:26.434061,MeanMask,PFI,detector_distance,simulation,"[70, 90, 50, 30, 10]",4,mlp,1,1,30,0.033490546826216994,0.03397841567048401,0.03463402394721456
2026-04-17 13:30:26.434061,MeanMask,PFI,detector_distance,simulation,[70],7,mlp,1,1,30,0.20243697720995002,0.20254631011155325,0.20249129344897013
2026-04-17 13:30:26.434061,MeanMask,PFI,detector_distance,simulation,"[70, 90]",7,mlp,1,1,30,0.1596243710317157,0.1594977448424848,0.15956420538683813
2026-04-17 13:30:26.434061,MeanMask,PFI,detector_distance,simulation,"[70, 90, 50]",7,mlp,1,1,30,0.12923396203184018,0.12971413650681535,0.1294553495851564
2026-04-17 13:30:26.434061,MeanMask,PFI,detector_distance,simulation,"[70, 90, 50, 30]",7,mlp,1,1,30,0.07373620349650663,0.07092550401569475,0.07235305386152123
2026-04-17 13:30:26.434061,MeanMask,PFI,detector_distance,simulation,"[70, 90, 50, 30, 10]",7,mlp,1,1,30,0.03553846954739817,0.03576758750222511,0.03539638224432171
2026-04-17 13:30:26.434061,MeanMask,PFI,detector_distance,simulation,[70],9,mlp,1,1,30,0.17905908644720608,0.17891441193014507,0.17877406812284466
2026-04-17 13:30:26.434061,MeanMask,PFI,detector_distance,simulation,"[70, 90]",9,mlp,1,1,30,0.19904587770517104,0.19925586000718534,0.19945680898996213
2026-04-17 13:30:26.434061,MeanMask,PFI,detector_distance,simulation,"[70, 90, 50]",9,mlp,1,1,30,0.14582135322809076,0.1452214098245478,0.14462456129777496
2026-04-17 13:30:26.434061,MeanMask,PFI,detector_distance,simulation,"[70, 90, 50, 30]",9,mlp,1,1,30,0.059048581822291134,0.058395673721435955,0.058020842175506605
2026-04-17 13:30:26.434061,MeanMask,PFI,detector_distance,simulation,"[70, 90, 50, 30, 10]",9,mlp,1,1,30,0.034219857647923034,0.034949515127309885,0.03591990183338789
2026-04-17 13:30:26.509126,MeanMask,OURS,detector_distance,simulation,[70],4,mlp,1,1,30,0.19540175454376782,0.1950230492220167,0.194868526650166
2026-04-17 13:30:26.509126,MeanMask,OURS,detector_distance,simulation,"[70, 90]",4,mlp,1,1,30,0.19513412684301842,0.19542465535578907,0.19554281355391562
2026-04-17 13:30:26.509126,MeanMask,OURS,detector_distance,simulation,"[70, 90, 50]",4,mlp,1,1,30,0.07950435445461274,0.07785963708195012,0.07730227545394328
2026-04-17 13:30:26.509126,MeanMask,OURS,detector_distance,simulation,"[70, 90, 50, 10]",4,mlp,1,1,30,0.11662715719246264,0.1150528259391402,0.11446572203235125
2026-04-17 13:30:26.509126,MeanMask,OURS,detector_distance,simulation,"[70, 90, 50, 10, 30]",4,mlp,1,1,30,0.033490546826216994,0.03397841567048401,0.03463402394721456
2026-04-17 13:30:26.509126,MeanMask,OURS,detector_distance,simulation,[70],7,mlp,1,1,30,0.20243697720995002,0.20254631011155325,0.20249129344897013
2026-04-17 13:30:26.509126,MeanMask,OURS,detector_distance,simulation,"[70, 90]",7,mlp,1,1,30,0.1596243710317157,0.1594977448424848,0.15956420538683813
2026-04-17 13:30:26.509126,MeanMask,OURS,detector_distance,simulation,"[70, 90, 50]",7,mlp,1,1,30,0.12923396203184018,0.12971413650681535,0.1294553495851564
2026-04-17 13:30:26.509126,MeanMask,OURS,detector_distance,simulation,"[70, 90, 50, 10]",7,mlp,1,1,30,0.15093668869968674,0.15119189535854038,0.15106736396647613
2026-04-17 13:30:26.509126,MeanMask,OURS,detector_distance,simulation,"[70, 90, 50, 10, 30]",7,mlp,1,1,30,0.03553846954739817,0.03576758750222511,0.03539638224432171
2026-04-17 13:30:26.509126,MeanMask,OURS,detector_distance,simulation,[70],9,mlp,1,1,30,0.17905908644720608,0.17891441193014507,0.17877406812284466
2026-04-17 13:30:26.509126,MeanMask,OURS,detector_distance,simulation,"[70, 90]",9,mlp,1,1,30,0.19904587770517104,0.19925586000718534,0.19945680898996213
2026-04-17 13:30:26.509126,MeanMask,OURS,detector_distance,simulation,"[70, 90, 50]",9,mlp,1,1,30,0.14582135322809076,0.1452214098245478,0.14462456129777496
2026-04-17 13:30:26.509126,MeanMask,OURS,detector_distance,simulation,"[70, 90, 50, 10]",9,mlp,1,1,30,0.15800411188872776,0.15748977361780953,0.15700554628543484
2026-04-17 13:30:26.509126,MeanMask,OURS,detector_distance,simulation,"[70, 90, 50, 10, 30]",9,mlp,1,1,30,0.034219857647923034,0.034949515127309885,0.03591990183338789
2026-04-17 13:30:26.542189,MeanMask,SAGE,wavelength,invivo,[735],0,mlp,1,1,30,6.221987290264476,10.592806659334105,4.424132555472042
2026-04-17 13:30:26.542189,MeanMask,SAGE,wavelength,invivo,"[735, 810]",0,mlp,1,1,30,6.221987290264476,10.592806659334105,4.424132555472042
2026-04-17 13:30:26.542189,MeanMask,SAGE,wavelength,invivo,"[735, 810, 850]",0,mlp,1,1,30,6.221987290264476,10.592806659334105,4.424132555472042
2026-04-17 13:30:26.542189,MeanMask,SAGE,wavelength,invivo,[735],1,mlp,1,1,30,10.713907325523865,4.188884600463815,5.534016648508766
2026-04-17 13:30:26.542189,MeanMask,SAGE,wavelength,invivo,"[735, 810]",1,mlp,1,1,30,10.713696076510452,4.188464511120251,5.535273651587552
2026-04-17 13:30:26.542189,MeanMask,SAGE,wavelength,invivo,"[735, 810, 850]",1,mlp,1,1,30,10.713580107986068,4.189568503109765,5.5491573583045675
2026-04-17 13:30:26.542189,MeanMask,SAGE,wavelength,invivo,[735],2,mlp,1,1,30,4.276113846386268,0.9193025063289292,12.3113977709283
2026-04-17 13:30:26.542189,MeanMask,SAGE,wavelength,invivo,"[735, 810]",2,mlp,1,1,30,4.276113846386268,0.9193025063289292,12.3113977709283
2026-04-17 13:30:26.542189,MeanMask,SAGE,wavelength,invivo,"[735, 810, 850]",2,mlp,1,1,30,4.276113846386268,0.9193025063289292,12.3113977709283
2026-04-17 13:30:26.561868,MeanMask,PFI,wavelength,invivo,[735],0,mlp,1,1,30,6.221987290264476,10.592806659334105,4.424132555472042
2026-04-17 13:30:26.561868,MeanMask,PFI,wavelength,invivo,"[735, 850]",0,mlp,1,1,30,6.221987290264476,10.592806659334105,4.424132555472042
2026-04-17 13:30:26.561868,MeanMask,PFI,wavelength,invivo,"[735, 850, 810]",0,mlp,1,1,30,6.221987290264476,10.592806659334105,4.424132555472042
